;;;;;;;;;;;;;;;;
NO;MATA KULIAH ;CPMK;SUB CPMK 1;SUB CPMK 2;SUB CPMK 3;SUB CPMK 4 ;SUB CPMK 5;SUB CPMK 6;SUB CPMK 7;SUB CPMK 8;SUB CPMK 9;SUB CPMK 10;SUB CPMK 11;SUB CPMK 12;SUB CPMK 13;SUB CPMK 14
8;AL ISLAM KEMUHAMMADIYAAN I;1). Mahasiswa mampu menjelaskan Pengertian, ruang lingkup, dan perkembangan studi islam;Mahasiswa mampu menjelaskan Pendekatan, metode dan perpektif Muhammadiyah dalam studi islam;Mahasiswa mampu menjelaskan Pendekatan, metode dan perpektif Muhammadiyah dalam studi islam;Mahasiswa mampu menjelaskan Nuzulul Qur’an dan Asbab Al Nuzul Qur’an dan kemukjizatan al-Qur’an;Mahasiswa mampu menjelaskan metode tafsir dan mengamalkan Qur’an;Mahasiswa mampu menjelaskan Pengertian, Unsur- Unsur dan kedudukan Hadits;Mahasiswa mampu menjelaskan Sejarah pertumbuhan hadits;;;;;;;;
;;2). Mahasiswa memahami Al-Qur'an dan kemukjizatan Al-Qur'an;Mahasiswa mampu menjelaskan Pendekatan, metode dan perpektif Muhammadiyah dalam studi islam;Mahasiswa mampu menjelaskan Pendekatan, metode dan perpektif Muhammadiyah dalam studi islam;Mahasiswa mampu menjelaskan Nuzulul Qur’an dan Asbab Al Nuzul Qur’an dan kemukjizatan al-Qur’an;Mahasiswa mampu menjelaskan metode tafsir dan mengamalkan Qur’an;Mahasiswa mampu menjelaskan Pengertian, Unsur- Unsur dan kedudukan Hadits;Mahasiswa mampu menjelaskan Sejarah pertumbuhan hadits;;;;;;;;
;;3). Mahasiswa memahami Tafsir Al-Qur'an ;Mahasiswa mampu menjelaskan Pendekatan, metode dan perpektif Muhammadiyah dalam studi islam;Mahasiswa mampu menjelaskan Pendekatan, metode dan perpektif Muhammadiyah dalam studi islam;Mahasiswa mampu menjelaskan Nuzulul Qur’an dan Asbab Al Nuzul Qur’an dan kemukjizatan al-Qur’an;Mahasiswa mampu menjelaskan metode tafsir dan mengamalkan Qur’an;Mahasiswa mampu menjelaskan Pengertian, Unsur- Unsur dan kedudukan Hadits;Mahasiswa mampu menjelaskan Sejarah pertumbuhan hadits;;;;;;;;
;;4). Mahasiswa memahami Hadits sebagai sumber Ajaran Islam;Mahasiswa mampu menjelaskan Pendekatan, metode dan perpektif Muhammadiyah dalam studi islam;Mahasiswa mampu menjelaskan Pendekatan, metode dan perpektif Muhammadiyah dalam studi islam;Mahasiswa mampu menjelaskan Nuzulul Qur’an dan Asbab Al Nuzul Qur’an dan kemukjizatan al-Qur’an;Mahasiswa mampu menjelaskan metode tafsir dan mengamalkan Qur’an;Mahasiswa mampu menjelaskan Pengertian, Unsur- Unsur dan kedudukan Hadits;Mahasiswa mampu menjelaskan Sejarah pertumbuhan hadits;;;;;;;;
;;5). Mahasiswa memahami Ijtihad dalam Islam;Mahasiswa mampu menjelaskan Pendekatan, metode dan perpektif Muhammadiyah dalam studi islam;Mahasiswa mampu menjelaskan Pendekatan, metode dan perpektif Muhammadiyah dalam studi islam;Mahasiswa mampu menjelaskan Nuzulul Qur’an dan Asbab Al Nuzul Qur’an dan kemukjizatan al-Qur’an;Mahasiswa mampu menjelaskan metode tafsir dan mengamalkan Qur’an;Mahasiswa mampu menjelaskan Pengertian, Unsur- Unsur dan kedudukan Hadits;Mahasiswa mampu menjelaskan Sejarah pertumbuhan hadits;;;;;;;;
;;6). Mahasiswa memahami sejarah peradaban Islam;Mahasiswa mampu menjelaskan Pendekatan, metode dan perpektif Muhammadiyah dalam studi islam;Mahasiswa mampu menjelaskan Pendekatan, metode dan perpektif Muhammadiyah dalam studi islam;Mahasiswa mampu menjelaskan Nuzulul Qur’an dan Asbab Al Nuzul Qur’an dan kemukjizatan al-Qur’an;Mahasiswa mampu menjelaskan metode tafsir dan mengamalkan Qur’an;Mahasiswa mampu menjelaskan Pengertian, Unsur- Unsur dan kedudukan Hadits;Mahasiswa mampu menjelaskan Sejarah pertumbuhan hadits;;;;;;;;
9;PENDIDIKAN PANCASILA;1). Mahasiswa mampu menjelaskan landasan pendidikan pancasila;Mahasiswa mampu menjelaskan tentang Pengantar Pendidikan pancasila;Mahasiswa mampu menjelaskan tentang Pengantar Pendidikan pancasila;;;;;;;;;;;;
;;2). Mahasiswa mampu menjelaskan tujuan pendidikan pancasila;Mahasiswa mampu menjelaskan tentang Pengantar Pendidikan pancasila;Mahasiswa mampu menjelaskan tentang Pengantar Pendidikan pancasila;;;;;;;;;;;;
;;3). Mahasiswa mampu menjelaskan pembahasan pancasila secara ilmiah;;Mahasiswa mampu menjelaskan tentang Pancasila dalam Lintasan sejarah Bangsa;;;;;;;;;;;;
;;4). Mahasiswa mampu menjelaskan beberapa pengertian pancasila;;;Mahasiswa mampu menjelaskan tentang Pancasila sebagai Dasar Negara;Mahasiswa mampu menjelaskan tentang Pancasila sebagai Dasar Ideologi;Mahasiswa mampu menjelaskan tentang Pancasila sebagai Sistem Filsafat;;;;;;;;;
;;5). Mahasiswa mampu menyusun proposal penelitian dan mempresentasikannya ;Mahasiswa mampu menjelaskan tentang Pengantar Pendidikan pancasila;Mahasiswa mampu menjelaskan tentang Pengantar Pendidikan pancasila;Mahasiswa mampu menjelaskan tentang Pancasila dalam Lintasan sejarah Bangsa;Mahasiswa mampu menjelaskan tentang Pancasila sebagai Dasar Negara;Mahasiswa mampu menjelaskan tentang Pancasila sebagai Dasar Ideologi;Mahasiswa mampu menjelaskan tentang Pancasila sebagai Sistem Filsafat;;;;;;;;
10;PENGANTAR SAINS DAN INFORMATIKA ;1). Menjelaskan pengertian sains, metode ilmiah, dan perkembangan ilmu pengetahuan;Mahasiswa mampu mendefinisikan sains dan membedakannya dengan pengetahuan biasa;;;;;;;;;;;;;
;;2). Menguraikan konsep dasar informatika serta ruang lingkupnya.;;Mahasiswa mampu menjelaskan definisi informatika dan perbedaannya dengan ilmu komputer;;;;;;;;;;;;
;;3). Memahami perangkat keras dan perangkat lunak komputer.;;;Mahasiswa mampu mengidentifikasi komponen perangkat keras komputer.;;;;;;;;;;;
;;4). Memahami jaringan komputer, internet dan keamanan informasi;;;;Mahasiswa mampu memberikan contoh pemanfaatan TI di bidang pendidikan.;;;;;;;;;;
;;5). Mengidentifikasi penerapan informatika dalam kehidupan sehari-hari dan bidang profesional.;;;;;Mengidentifikasi penerapan informatika dalam kehidupan sehari-hari dan bidang profesional.;;;;;;;;;
11;AL ISLAM KEMUHAMMADIYAAN II;1).Mengetahui Islam Nusantara;Mahasiswa mengetahui Islam di Nusantara;;;;;;;;;;;;;
;;2). Mengetahui Pembaruan di Dunia Islam;;Mahasiswa mengetahin Pembaruan di Dunia Islam;;;;;;;;;;;;
;;3). Memahami Mukaddimah anggaran dasar Muhammadiyah;;;Mahasiswa Memahami Mukaddimah Anggaran Dasar Muhammadiyah;;;;;;;;;;;
;;4). Memahami Matan Keyakinan dan Cita-cita Hidup (MKCH) Muhammadiyah;;;;Mahasiswa Memahami Matan Keyakinan dan Cita-Cita Hidup (MKCH) Muhammadiyah;;;;;;;;;;
;;5). Mengetahui Kepribadian Muhammadiyah;;;;;Mahasiswa Memahami Kepribadian Muhammadiyah;;;;;;;;;
;;6). Mengetahui Gerakan Muhammadiyah;;;;;;Mahasiswa Memahami Muhammadiyah sebagai gerakan Islam yang berwatak tajrid dan tajdid;;;;;;;;
;;7). Mengetahui Peran Kebangsaan Muhammadiyah di Indonesia;;;;;;;Mahasiswa Memahami dan Berperan aktif dalam Gerakan Muhammadiyah sebagai gerakan sosial;Mahasiswa Memahami dan Berperan aktif dalam Gerakan Muhammadiyah sebagai Gerakan Pendidikan;;;;;;
;;8). Mengetahui Muhammadiyah Abad ke II;;;;;;;;Mahasiswa Memahami dan Berperan aktif dalam Gerakan Muhammadiyah sebagai Gerakan Pendidikan;;;;;;
12;AlGORITMA DAN PEMOGRAMAN TINGKAT LANJUT;1). Memahami dasar-dasar algoritma dan pemrograman menggunakan Java. ; Memahami konsep dasar pemrograman dan algoritma;;;;;;;;;;;;;
;;2). Mampu menyusun algoritma sederhana berdasarkan permasalahan yang diberikan. ;;Memahami struktur kontrol (percabangan, perulangan);;;;;;;;;;;;
;;3).Mengimplementasikan algoritma dalam kode Java;;;Menggunakan fungsi/method dan rekursi.;;;;;;;;;;;
;;4). Melakukan debugging dan optimasi program Java yang telah dibuat.;;;;Menggunakan array dan koleksi data sederhana; Mengimplementasikan algoritma sorting dan searching;Membuat program modular menggunakan prinsip OOP (Object-Oriented Programming);Menggunakan debugging tools dan teknik optimasi.;;;;;;;
13;PRAKTIKUM AlGORITMA DAN PEMOGRAMAN TINGKAT LANJUT;1). Memahami dasar-dasar algoritma dan pemrograman menggunakan Java. ; Memahami konsep dasar pemrograman dan algoritma;;;;;;;;;;;;;
;;2). Mampu menyusun algoritma sederhana berdasarkan permasalahan yang diberikan. ;;Memahami struktur kontrol (percabangan, perulangan);;;;;;;;;;;;
;;3).Mengimplementasikan algoritma dalam kode Java;;;Menggunakan fungsi/method dan rekursi.;;;;;;;;;;;
;;4). Melakukan debugging dan optimasi program Java yang telah dibuat.;;;;Menggunakan array dan koleksi data sederhana; Mengimplementasikan algoritma sorting dan searching;Membuat program modular menggunakan prinsip OOP (Object-Oriented Programming);Menggunakan debugging tools dan teknik optimasi.;;;;;;;
14;ALJABAR LINEAR DAN MATRIKS;1). Mahasiswa mampu menjelaskan tentang pengertian Vektor;Mahasiswa mampu menjelaskan pengerrtian vektor, menemukan hasil dari suatu operasi yang dilakukan terhadap dua vektor atau lebih dan menyatakan suatu vektor dalam susunan koordinat ruang berdimensi n;;;;;;;;;;;;;
;;2). Mahasiswa mampu menjelasan tentang pengertian Kombinasi Linier, Dimensi dan basis suatu Ruang Vektor.;;Mahasiswa mampu menjelaskan pengerrtian vektor, menemukan hasil dari suatu operasi yang dilakukan terhadap dua vektor atau lebih dan menyatakan suatu vektor dalam susunan koordinat ruang berdimensi n;Mahasiswa mampu menjelaskan pengertian kombinasi linier, dimensi dan basis suatu ruang vektor;;;;;;;;;;;
;;3). Mahasiswa mampu  menjelasan tentang pengertian matriks, jenis-jenis matriks, matriks ekivalen, ruang baris/kolom suatu matriks dan rank matriks.;;;Mahasiswa mampu menjelaskan pengertian kombinasi linier, dimensi dan basis suatu ruang vektor;;;;;;;;;;;
;;4). Mahasiswa mampu menjelaskan tentang determinan orde dua dan tiga, serta sifat – sifat determinan minor / kofaktor.;;;;Mahasiswa mampu menjelaskan pengertian dari matriks, bentuk matriks dari bentuk vektor, operasi yang berlaku dalam matriks dan transpose matrik;;;;;;;;;;
;;5). Mahasiswa mampu menjelaskan tentang invers matriks menggunakan matriks adjoin dan transformasi elementer ;;;;;Mahasiswa mampu menjelaskan Jenis-jenis matriks, Transformasi elementer baris /kolom dan  matriks ekuivalen;;;;;;;;;
;;6). Mahasiswa mampu menjelaskan penjelasan tentang Sistem persamaan Linier Homogen dan Non Homogen;;;;;;Mahasiswa mampu Menjelaskan pengertian  Matriks elementer, Ruang baris /kolom suatu matriks dan Rank Matriks;;;;;;;;
;;7). Mahasiswa mampu menjelaskan tentang Transformasi vektor linier, Matriks, Ruang peta, ruang nol dan Produk transformasi ;;;;;;;Mahasiswa mampu Menjelaskan  tentang determinan orde dua dan tiga Sifat-sifat Determinan, Minor / kofaktor Determinan dengan Teorema Laplace (ekspansi secara baris dan kolom) dan dengan memanfaatkan sifat-sifat determinan, Matriks Singular dan Non Singular.;;;;;;;
15;BAHASA INGGRIS TEKNIK;1). Memahami kosa kata teknis dan struktur bahasa Inggris terkait bidang teknik;Memahami kosa kata teknis yang sering digunakan dalam bidang teknik.  ;;;;;;;;;;;;;
;;2). Membaca dan memahami teks teknis seperti manual, jurnal, dan laporan;;Membaca dan menganalisis teks teknis sederhana. ;;;;;;;;;;;;
;;3). Menulis laporan teknis dan komunikasi berbasis email dengan struktur yang baik.  ;;;Menulis email formal dan laporan singkat dalam bahasa Inggris;;;;;;;;;;;
;;4). Berbicara dan berdiskusi dalam konteks presentasi teknis.  ;;;;Menyajikan ide teknis dalam bahasa Inggris melalui presentasi.  ;;;;;;;;;;
16;DASAR PEMOGRAMAN WEB;1). Memahami konsep dasar pemrograman web, termasuk struktur HTML dan styling menggunakan CSS.;Menjelaskan konsep dasar pemrograman web.;;;;;;;;;;;;;
;;2). Menerapkan konsep dasar interaktivitas menggunakan JavaScript.;;Membuat struktur halaman web menggunakan HTML.;;;;;;;;;;;;
;;3). Merancang halaman web statis dan dinamis dengan HTML, CSS, dan JavaScript;;;Menerapkan gaya desain menggunakan CSS.;;;;;;;;;;;
;;4). Mengintegrasikan elemen dasar web dalam proyek sederhana.;;;;Membuat elemen interaktif dengan JavaScript.;Merancang proyek halaman web statis dan dinamis.;;;;;;;;;
17;PRAKTIKUM DASAR PEMOGRAMAN WEB;1). Memahami konsep dasar pemrograman web, termasuk struktur HTML dan styling menggunakan CSS.;Menjelaskan konsep dasar pemrograman web.;;;;;;;;;;;;;
;;2). Menerapkan konsep dasar interaktivitas menggunakan JavaScript.;;Membuat struktur halaman web menggunakan HTML.;;;;;;;;;;;;
;;3). Merancang halaman web statis dan dinamis dengan HTML, CSS, dan JavaScript;;;Menerapkan gaya desain menggunakan CSS.;;;;;;;;;;;
;;4). Mengintegrasikan elemen dasar web dalam proyek sederhana.;;;;Membuat elemen interaktif dengan JavaScript.;Merancang proyek halaman web statis dan dinamis.;;;;;;;;;
18;KONSEP TEKNOLOGI INFORMASI;1). Memahami dasar-dasar teknologi informasi, termasuk perangkat keras dan perangkat lunak.;Menjelaskan konsep dasar teknologi informas;;;;;;;;;;;;;
;;2). Mampu menjelaskan fungsi dan peran teknologi informasi dalam berbagai bidang. ;;Memahami komponen perangkat keras dan perangkat lunak;;;;;;;;;;;;
;;3). Menggunakan teknologi informasi untuk mendukung penyelesaian masalah.;;;Menerapkan teknologi informasi untuk mendukung tugas sederhana;;;;;;;;;;;
;;4). Mengidentifikasi dampak sosial, etika, dan keamanan teknologi informasi.;;;;Menganalisis dampak positif dan negatif dari teknologi informasi.;;;;;;;;;;
19;KALKULUS (MATEMATIKA DASAR II);1). Memahami konsep turunan dan integral serta aplikasinya.;Menjelaskan konsep turunan dan integral.;;;;;;;;;;;;;
;;2). Memahami konsep matriks dan vektor serta operasinya dalam aljabar linier;;Menggunakan turunan untuk analisis fungsi dan aplikasi praktis.;;;;;;;;;;;;
;;3). Menyelesaikan masalah fungsi multivariabel dan optimasi.  ;;;Menerapkan integral untuk menghitung luas, volume, dan aplikasi lainnya.  ;;;;;;;;;;;
;;4). Mengaplikasikan metode numerik sederhana untuk menyelesaikan masalah matematika.;;;;Memahami dasar-dasar matriks dan operasinya.;Menerapkan vektor dan matriks dalam aljabar linier.;Menyelesaikan masalah optimasi fungsi multivariabel.  ;;;;;;;;
20;ORGANISASI DAN ARSITEKTUR KOMPUTER ;1). Mahasiswa mampu mengingat dan memahami pengantar organisasi dan arsitetur komputer;Mahasiswa mampu memahami penjelasan dasar mengenai pengertian struktur organisasi dan arsitektur komputer;;;;;;;;;;;;;
;;2). Mahasiswa Mampu mengingat dan memahami komponen dasar sistem komputer;;Mahasiswa mampu memahami dan mengetahui perubahan teknologi komputer serta kecanggihan performanya.;;;;;;;;;;;;
;;3). Mahasiswa mampu menjelaskan tentang pengetahuan sistem operasi dan peranannya;;;Menjelaskan konsep sistem bus.;;;;;;;;;;;
;;4). Mahasiswa mampu mengingat dan memahami BUS dan Interkoneksinya;;;;Mahasiswa mampu mengetahui dan memahami cara kerja cache memori pada prosesor komputer.;;;;;;;;;;
;;5). Mahasiswa mampu mengingat dan memahami Pipeline;;;;;Mahasiswa mampu mengetahui dan memahami fungsi memori internal dan cara kerjanya pada prosesor serta pengaruhnya terhadap struktur komputer.;;;;;;;;;
;;6). Mahasiswa mampu mengingat, memahami Pipeline dan Paralelisme;;;;;;Mahasiswa mampu mengetahui dan memahami fungsi Modul I/O pada komputer.;;;;;;;;
;;7).  Mahasiswa mampu mengingat dan memahami Pemprosesan Parallelisme;;;;;;;Mahasiswa mampu mengetahui dan memahami tujuan dan fungsi operating system support pada komputer.;;;;;;;
;;8). Mahasiswa mampu memahami dan menerapkan instruksi mesin dan bahasa assembly;;;;;;;;Mahasiswa mampu memahami dan mengaplikasikan cara kerja computer arithmetic dan fungsinya terhadap kinerja komputer.;;;;;;
;;9). Mahasiswa mampu mengingat dan memahami Bahasa Assembly;;;;;;;;;Mahasiswa mampu memahami dan mengaplikasikan instruction set pada karakteristik dan fungsinya;;;;;
21;PENDIDIKAN KEWARGANEGARAAN;1). Memahami konsep dasar kewarganegaraan dan identitas nasional.;Menjelaskan konsep dasar kewarganegaraan dan identitas nasional;;;;;;;;;Mahasiswa mampu memahami dan mengaplikasikan struktur dan fungsi CPU pada proses kerja komputer.;;;;
;;2). Menganalisis Pancasila, UUD 1945, dan sistem demokrasi Indonesia.;;Menganalisis nilai-nilai Pancasila sebagai dasar negara;;;;;;;;;;;;
;;3). Mengevaluasi isu-isu HAM, multikulturalisme, dan dinamika kebangsaan.;;;Memahami prinsip UUD 1945 dalam penyelenggaraan negara;;;;;;;;;;;
;;4). Mengaplikasikan nilai-nilai bela negara dan sikap toleransi dalam masyarakat.;;;;Mengevaluasi implementasi HAM dan demokrasi di Indonesia;Menerapkan sikap bela negara dan toleransi dalam kehidupan bermasyarakat.;;;;;;;;;
22;AL ISLAM KEMUHAMMADIYAAN III;1). Mahasiswa dapat memahami konsep dan aliran akidah dalam islam;Mahasiswa dapat menjelaskan Konsep aqidah dalam Islam;Mahasiswa dapat mennjelaskan pendalaman terhadap rukun imam ( imam kepada akhir dan takdir;Mahasiswa dapat menjelaskanaqidah dan aliran alairan aqidah;Mahasiswa dapat menjelaskan pendalaman akhlak (akhlak kepada Allah, Rasulullah, Pribadi, Keluarga, Masyarakat, Negara dan Lingkungan);;;;;;;;;;
;;2). Mahasiswa dapat memahami wawasan tentang rukun islam;Mahasiswa dapat menjelaskan Konsep aqidah dalam Islam;Mahasiswa dapat mennjelaskan pendalaman terhadap rukun imam ( imam kepada akhir dan takdir;Mahasiswa dapat menjelaskanaqidah dan aliran alairan aqidah;Mahasiswa dapat menjelaskan pendalaman akhlak (akhlak kepada Allah, Rasulullah, Pribadi, Keluarga, Masyarakat, Negara dan Lingkungan);;;;;;;;;;
;;3). Mahasiswa dapat memahami aliran akidah dalam islam;Mahasiswa dapat menjelaskan Konsep aqidah dalam Islam;Mahasiswa dapat mennjelaskan pendalaman terhadap rukun imam ( imam kepada akhir dan takdir;Mahasiswa dapat menjelaskanaqidah dan aliran alairan aqidah;Mahasiswa dapat menjelaskan pendalaman akhlak (akhlak kepada Allah, Rasulullah, Pribadi, Keluarga, Masyarakat, Negara dan Lingkungan);;;;;;;;;;
;;4). Mahasiswa dapat memahami pengertian dan ruang lingkup akhlak;Mahasiswa dapat menjelaskan Konsep aqidah dalam Islam;Mahasiswa dapat mennjelaskan pendalaman terhadap rukun imam ( imam kepada akhir dan takdir;Mahasiswa dapat menjelaskanaqidah dan aliran alairan aqidah;Mahasiswa dapat menjelaskan pendalaman akhlak (akhlak kepada Allah, Rasulullah, Pribadi, Keluarga, Masyarakat, Negara dan Lingkungan);;;;;;;;;;
23;ARITMATIKA KOMPUTER;1). Mahasiswa mampu menjelaskan pengertian biner, operasi-operasi biner dan sifat-sifat operasi biner.;Mahasiswa mampu menjelaskan pengertian biner, operasi-operasi biner dan sifat-sifat operasi biner;;;;;;;;;;;;;
;;2). Mahasiswa mampu menjelaskan pengertian Sistem Aljabar satu operasi, Semi group dan Monoid, Group abel, Subgroup dan Subgroup Normal, dan Group Kuosien;;Mahasiswa mampu menjelaskan pengertian Sistem Aljabar satu operasi, Semi group dan Monoid, Group abel, Subgroup dan Subgroup Normal, dan Group Kuosien;Mahasiswa mampu menjelaskan pengertian Sistem Aljabar satu operasi, Semi group dan Monoid, Group abel, Subgroup dan Subgroup Normal, dan Group Kuosien;;;;;;;;;;;
